timestamp,roll,pitch,yaw
82031983645,-1.37869,-1.40421,0.0828373
82031997801,-1.37876,-1.40386,0.0832336
82032021051,-1.37885,-1.40389,0.083792
82032043575,-1.38032,-1.40426,0.0854167
82032057816,-1.38032,-1.40426,0.0854167
82032088600,-1.38032,-1.40426,0.0854167
82032103496,-1.38032,-1.40426,0.0854167
82032117810,-1.38032,-1.40426,0.0854167
82032140986,-1.38032,-1.40426,0.0854167
82032164396,-1.38032,-1.40426,0.0854167
82032177809,-1.38032,-1.40426,0.0854167
82032200980,-1.38032,-1.40426,0.0854167
82032223558,-1.38026,-1.40387,0.085699
82032237824,-1.38032,-1.40426,0.0854167
82032261040,-1.38032,-1.40426,0.0854167
82032283520,-1.38032,-1.40426,0.0854167
82032297844,-1.38107,-1.40454,0.0857963
82032320988,-1.38115,-1.4042,0.0861912
82032343510,-1.38115,-1.4042,0.0861912
82032357866,-1.38115,-1.4042,0.0861912
82032381012,-1.38115,-1.4042,0.0861912
82032403413,-1.38115,-1.4042,0.0861912
82032424513,-1.3819,-1.40448,0.0865704
82032440968,-1.3819,-1.40448,0.0865704
82032463504,-1.38183,-1.4041,0.0868525
82032484534,-1.38197,-1.40414,0.0869646
82032500986,-1.38197,-1.40414,0.0869646
82032523485,-1.38197,-1.40414,0.0869646
82032544546,-1.38266,-1.40404,0.0876253
82032561027,-1.38266,-1.40404,0.0876253
82032583520,-1.38266,-1.40404,0.0876253
82032604558,-1.38273,-1.4037,0.0880186
82032620995,-1.38273,-1.4037,0.0880186
82032643461,-1.38273,-1.4037,0.0880186
82032664563,-1.38273,-1.4037,0.0880186
82032681055,-1.38273,-1.4037,0.0880186
82032703495,-1.38273,-1.4037,0.0880186
82032724496,-1.38348,-1.40398,0.0883973
82032740965,-1.38355,-1.40364,0.0887899
82032763474,-1.38226,-1.40332,0.0882833
82032784518,-1.38241,-1.40372,0.0885617
82032800959,-1.38207,-1.40356,0.0885181
82032823485,-1.38213,-1.4034,0.0884905
82032846063,-1.38317,-1.4034,0.0899296
82032860950,-1.38428,-1.40307,0.0917562
82032883524,-1.38497,-1.40237,0.0933903
82032905963,-1.38634,-1.40212,0.095423
82032920963,-1.3864,-1.4012,0.0967754
82032943488,-1.39019,-1.40025,0.100835
82032965970,-1.39487,-1.39911,0.106106
82032980399,-1.39669,-1.39686,0.110882
82033004281,-1.39851,-1.3936,0.117242
82033027809,-1.40005,-1.38943,0.122173
82033040283,-1.40583,-1.38134,0.130359
82033063577,-1.41903,-1.36459,0.1449
82033086047,-1.45207,-1.33552,0.180899
82033106972,-1.48822,-1.29774,0.222151
82033123466,-1.53281,-1.25544,0.26985
82033146006,-1.57639,-1.2006,0.310737
82033166991,-1.61913,-1.13181,0.34784
82033183491,-1.65338,-1.04681,0.379916
82033206008,-1.67137,-0.947279,0.405917
82033227027,-1.67252,-0.835235,0.425868
82033243503,-1.66514,-0.712457,0.44196
82033265966,-1.65585,-0.579822,0.45758
82033287087,-1.6416,-0.438471,0.47507
82033303552,-1.61985,-0.294522,0.493979
82033325959,-1.5933,-0.148655,0.513814
82033347012,-1.56327,-0.0033173,0.536916
82033364926,-1.53196,0.139532,0.564829
82033385989,-1.49449,0.277317,0.599281
82033407032,-1.44809,0.407804,0.639067
82033431021,-1.39519,0.528788,0.684783
82033446007,-1.33521,0.642468,0.73706
82033467036,-1.26386,0.746417,0.800781
82033483482,-1.18246,0.838394,0.878017
82033506030,-1.089,0.917376,0.96817
82033527039,-0.983103,0.982132,1.06972
82033543493,-0.86312,1.03384,1.18707
82033565991,-0.735489,1.07207,1.31217
82033587058,-0.607628,1.09611,1.43807
82033602847,-0.487585,1.10793,1.55833
82033625987,-0.384489,1.11162,1.66404
82033647047,-0.299933,1.1094,1.75174
82033662838,-0.240361,1.10534,1.81515
82033685958,-0.200451,1.10035,1.86057
82033714533,-0.17835,1.09548,1.88758
82033722855,-0.173644,1.09131,1.89773
82033745999,-0.173719,1.0869,1.90283
82033767029,-0.173003,1.08353,1.90504
82033791004,-0.166764,1.08109,1.90994
82033806056,-0.154566,1.08037,1.91802
82033828504,-0.142505,1.08029,1.92305
82033842817,-0.134398,1.08171,1.92035
82033866010,-0.129794,1.09135,1.9034
82033890013,-0.138886,1.10894,1.85984
82033910110,-0.201236,1.13273,1.75588
82033927344,-0.344017,1.14785,1.57407
82033948520,-0.558753,1.13089,1.32654
82033969540,-0.776135,1.07453,1.07781
82033986015,-0.95721,0.987739,0.882113
82034008484,-1.08243,0.880947,0.740192
82034029613,-1.16159,0.792114,0.665564
82034046030,-1.17302,0.743251,0.640969
82034068438,-1.16048,0.727373,0.638112
82034089535,-1.11251,0.759914,0.673718
82034106031,-1.05576,0.809527,0.726196
82034129933,-1.01613,0.854674,0.770951
82034149509,-0.992157,0.885261,0.805155
82034165959,-0.955612,0.896395,0.845448
82034188500,-0.933971,0.907225,0.865855
82034209541,-0.921676,0.912399,0.881623
82034226029,-0.924799,0.909513,0.888369
82034248472,-0.937772,0.899233,0.886687
82034270949,-0.954547,0.88289,0.877733
82034285973,-0.97144,0.863059,0.867271
82034308515,-0.991489,0.841446,0.855604
82034329533,-1.01874,0.81488,0.840735
82034353635,-1.05121,0.78218,0.823552
82034368523,-1.08212,0.745202,0.808209
82034389532,-1.11375,0.703368,0.79277
82034405948,-1.14635,0.654328,0.775425
82034428497,-1.18104,0.597971,0.756664
82034449561,-1.2158,0.534597,0.738601
82034465995,-1.249,0.463697,0.722615
