timestamp,x,y,z
117283821732,0.934082,-0.269043,-0.0180664
117283844632,0.930664,-0.270508,-0.0200195
117283860424,0.935547,-0.272461,-0.0141602
117283881901,0.941406,-0.266113,-0.0102539
117283904600,0.943359,-0.263672,-0.0102539
117283920401,0.938965,-0.262207,-0.00927734
117283966141,0.937012,-0.259277,-0.00878906
117283968224,0.94043,-0.255371,-0.00927734
117283980427,0.944336,-0.257812,-0.0131836
117284002407,0.941895,-0.257324,-0.00830078
117284018174,0.939453,-0.26709,-0.0195312
117284040413,0.931152,-0.266602,-0.0151367
117284084013,0.922363,-0.256348,-0.0161133
117284094259,0.9375,-0.259766,-0.0170898
117284100523,0.959961,-0.272949,-0.0214844
117284122219,0.948242,-0.268555,-0.0151367
117284138009,0.936523,-0.258301,-0.0102539
117284159038,0.931641,-0.254395,-0.00195312
117284182231,0.932129,-0.260254,-0.0078125
117284198025,0.939453,-0.266113,-0.00927734
117284219178,0.947266,-0.26416,-0.015625
117284242193,0.942871,-0.259277,-0.0136719
117284257902,0.937012,-0.250488,-0.00976562
117284279036,0.935059,-0.259277,-0.012207
117284302192,0.943848,-0.262695,-0.0214844
117284317972,0.946777,-0.264648,-0.0209961
117284339019,0.944824,-0.266602,-0.00634766
117284362186,0.929199,-0.262207,0.00830078
117284377992,0.935059,-0.270996,0.019043
117284398994,0.948242,-0.273926,0.0102539
117284422181,0.952637,-0.300293,0.000488281
117284444736,0.952637,-0.333008,-0.0141602
117284459075,0.936523,-0.360352,-0.00195312
117284482229,0.9375,-0.359375,-0.000976562
117284504726,0.937988,-0.338867,0.00390625
117284520529,0.992188,-0.333496,0.00244141
117284542241,1.02002,-0.382812,-0.0527344
117284564742,1.00928,-0.611816,-0.149902
117284588619,0.990234,-0.812988,-0.219727
117284602151,0.918457,-0.94043,-0.270508
117284624699,0.772461,-1.00391,-0.299805
117284640416,0.694336,-0.980469,-0.324219
117284662201,0.571777,-1.0127,-0.325195
117284684698,0.462402,-1.04639,-0.310059
117284700511,0.446289,-1.11523,-0.320801
117284722154,0.369629,-1.11816,-0.362305
117284744781,0.250977,-1.09912,-0.352539
117284760506,0.134277,-1.05762,-0.334473
117284798597,0.034668,-0.986816,-0.312988
117284819687,-0.0566406,-0.93457,-0.285156
117284843600,-0.0849609,-0.916504,-0.266602
117284844370,-0.0854492,-0.81543,-0.239258
117284864702,-0.0756836,-0.740723,-0.254883
117284880503,-0.106934,-0.686523,-0.279297
117284901504,-0.0327148,-0.680176,-0.263672
117284924698,0.00195312,-0.620117,-0.240234
117284940446,-0.0522461,-0.597168,-0.234863
117284961537,-0.0761719,-0.643066,-0.217285
117284984738,-0.151855,-0.619629,-0.208496
117285000480,-0.183105,-0.605957,-0.217285
117285021517,-0.177734,-0.713379,-0.222656
117285044706,-0.184082,-0.770508,-0.208984
117285060495,-0.175781,-0.821777,-0.217285
117285082986,-0.15918,-0.85498,-0.217285
117285106176,-0.174805,-0.900391,-0.251953
117285120444,-0.191895,-0.898926,-0.225586
117285143022,-0.119141,-0.97168,-0.263672
117285166174,-0.0180664,-1.14014,-0.23584
117285188323,-0.0629883,-1.1333,-0.266113
117285203062,0.00439453,-1.05713,-0.259766
117285226175,0.0874023,-1.0332,-0.259766
117285240473,0.0678711,-1.03516,-0.233887
117285262968,0.125977,-1.0332,-0.210938
117285307968,0.116211,-1.06494,-0.231445
117285314683,0.000976562,-1.21826,-0.270996
117285323696,0.230957,-1.18994,-0.214355
117285346188,0.115234,-1.16309,-0.126465
117285367187,0.121094,-0.977051,-0.157715
117285382948,0.302734,-0.924805,-0.160645
117285406167,0.40918,-1.18848,-0.248047
117285427192,0.499512,-1.31836,-0.25293
117285451183,0.524414,-1.32373,-0.263672
117285466179,0.547363,-1.229,-0.274414
117285488666,0.415039,-1.104,-0.279297
117285503018,0.368652,-1.10059,-0.280762
117285526183,0.253418,-1.09668,-0.312988
117285547212,0.182617,-1.20166,-0.304199
117285562954,0.121582,-1.26221,-0.299316
117285586157,0.0825195,-1.24365,-0.318359
117285614727,0.0708008,-1.23291,-0.352051
117285622980,0.0952148,-1.21436,-0.367676
117285646169,0.0620117,-1.27246,-0.391602
117285667204,0.0751953,-1.23828,-0.39209
117285689659,0.0898438,-1.22119,-0.400391
117285706175,0.106445,-1.1748,-0.394531
117285727309,0.157227,-1.11719,-0.366211
117285742994,0.241211,-1.06641,-0.32373
117285765490,0.308594,-0.964844,-0.278809
117285787180,0.393555,-0.852051,-0.232422
117285802971,0.496094,-0.808594,-0.154785
117285825473,0.564453,-0.800781,-0.0654297
