timestamp,x,y,z
83959179851,0.933594,-0.250488,0.0131836
83959196306,0.938477,-0.260742,0.00976562
83959218819,0.945312,-0.258301,0.0078125
83959239862,0.938965,-0.254395,0.0141602
83959256293,0.936035,-0.26123,0.0112305
83959278813,0.949219,-0.260254,0.00439453
83959301302,0.942871,-0.265625,0.00439453
83959316311,0.929199,-0.261719,0.00292969
83959338850,0.934082,-0.26416,0.00292969
83959361283,0.933594,-0.268066,0.0112305
83959375687,0.936035,-0.264648,0.012207
83959398843,0.939453,-0.268066,0.0175781
83959421363,0.943359,-0.270508,0.0166016
83959435708,0.940918,-0.263672,0.0185547
83959458810,0.930176,-0.272949,0.0175781
83959481282,0.944336,-0.291016,0.000976562
83959495713,0.938965,-0.303223,-0.00244141
83959518798,0.925781,-0.311035,0.00146484
83959541292,0.92627,-0.319336,0.0195312
83959555691,0.916992,-0.327148,0.0336914
83959586397,0.933105,-0.344727,0.0458984
83959601345,0.957031,-0.352051,0.0385742
83959629913,0.967285,-0.336426,0.0390625
83959638839,0.972168,-0.350098,0.0170898
83959661268,0.971191,-0.366699,0.00927734
83959682490,0.967285,-0.445801,-0.0385742
83959698809,0.935059,-0.551758,-0.0927734
83959721343,0.914551,-0.669922,-0.166504
83959742392,0.880371,-0.758789,-0.208008
83959758787,0.802246,-0.842285,-0.245117
83959781416,0.783691,-0.900879,-0.269043
83959802350,0.711426,-0.909668,-0.285156
83959818847,0.644531,-0.949219,-0.285645
83959841322,0.564453,-0.942383,-0.282715
83959862447,0.507812,-0.993164,-0.289551
83959878158,0.469238,-0.984375,-0.27002
83959901291,0.39502,-0.990723,-0.279785
83959922356,0.291016,-1.02686,-0.264648
83959938837,0.198242,-1.09375,-0.256348
83959961291,0.117676,-1.11865,-0.249023
83959982347,0.0512695,-1.05078,-0.239746
83959998191,-0.0078125,-1.01562,-0.239258
83960021285,-0.0727539,-0.970215,-0.247559
83960042621,-0.178223,-0.948242,-0.223633
83960058168,-0.186523,-0.905762,-0.208008
