timestamp,x,y,z
59658257367,0.0625,0.125,-0.125
59658273867,0.5,0.3125,0
59658296354,1.5,0.0625,0
59658310584,1.125,-0.0625,0.1875
59658333800,0.0625,0,0.3125
59658356356,-0.75,0,0.125
59658370633,0.375,0.25,0.1875
59658393892,0.6875,0.1875,0.125
59658423832,0.3125,0,0.25
59658430699,-0.4375,0.125,0.125
59658453783,-0.625,0.3125,-0.0625
59658476442,-0.375,0.3125,0
59658490644,-0.4375,0.375,-0.0625
59658513810,-0.1875,0,0.125
59658536265,-0.125,0,0.25
59658557378,0.8125,-0.125,-0.125
59658573788,1.5,0.3125,-0.5
59658596384,0.25,0.5625,0
59658617372,-0.5625,0,0.0625
59658633884,0.125,0,0.0625
59658656434,0.6875,0.25,-0.375
59658677611,-0.1875,0.375,-0.1875
59658693907,-0.5625,0.375,-0.125
59658716434,0.375,0,0.3125
59658738874,1.1875,0.0625,0.1875
59658753826,0.75,0.0625,0
59658776425,-0.625,0.3125,0
59658797473,-1.0625,0.25,0.125
59658813872,-0.5,0.125,0.25
59658836436,0.5,0,-0.25
59658865101,0.5,0,-0.0625
59658873858,0.375,0.125,-0.1875
59658896426,1,0.0625,-0.3125
59658917615,0.8125,0,-0.4375
59658941445,0.9375,0,-0.3125
59658956430,0.75,0,-0.1875
59658978926,0.8125,0,-0.75
59658993848,0.375,0.1875,-0.625
59659016350,0.25,0.25,-0.625
59659038783,0.1875,0.125,-0.4375
59659053801,-0.3125,0.1875,-0.25
59659083863,-0.875,-0.125,0
59659098782,-1.1875,-0.0625,-0.4375
59659113121,-0.25,0.1875,-0.6875
59659143767,0.8125,0.375,-0.875
59659158804,0.8125,0,-0.3125
59659173043,0,-0.3125,-0.25
59659196454,0.6875,-0.0625,-0.5
59659218876,0.875,0.0625,-0.3125
59659241230,0.6875,-0.0625,0.1875
59659256330,0.8125,-0.1875,0
59659278878,2,0,-0.25
59659293074,2.25,0.0625,-0.375
59659316412,2.625,-0.1875,0.1875
59659346329,2.625,-0.5,0.625
59659353100,2.3125,-0.875,1.3125
59659383814,2.0625,-1,1.5
59659398895,1.5,-1,1.5625
59659413187,1.5625,-1.25,2.375
59659443810,2.4375,-1.8125,3.6875
59659458757,1.1875,-3.25,6.0625
59659479902,2.625,-5.125,8.4375
59659496783,4.9375,-8,12.6875
59659518779,6.9375,-10.75,18.1875
59659547413,8.5,-14.625,24.875
59659556356,9.5625,-19.0625,32.1875
59659578808,7.125,-23.875,40.75
59659599847,2.6875,-28.375,51.75
59659616387,1.3125,-31,64.5
59659646356,-3.5625,-31.5625,75.3125
59659659924,1.9375,-33.8125,87
59659676387,3.9375,-35.9375,91.5625
59659698818,16.1875,-35.625,96.5625
59659719886,11.6875,-40,102.938
59659735742,17.625,-40.6875,111.438
59659758787,17.75,-44.6875,116.688
59659780040,20.125,-48.625,124.938
59659795609,26.6875,-52.6875,132.375
59659818871,30.125,-57.25,138.5
59659839921,35.75,-61.125,146
59659855639,36.875,-64.375,152.625
59659886333,36.0625,-67.875,157.875
59659900187,41.5,-69.1875,165.062
59659915616,43.125,-70,170.625
59659938767,47.25,-72.6875,173.812
59659961247,48,-80.0625,174.375
59659975607,40.9375,-87.75,174.812
59659998923,39.125,-94.3125,177
59660021400,38.5,-97.8125,175.938
59660035662,37.875,-99.375,172.938
59660058854,32,-102.875,170
59660081442,29.5,-103.938,165.25
59660102430,25.3125,-107.875,161.312
59660118881,27.25,-110.438,155.812
59660141338,25.5,-109.75,146.75
59660162390,21.1875,-109.5,138.5
59660178857,20.125,-108.688,127.25
59660201342,18.625,-107.625,118
59660222622,15.125,-108.188,105.25
59660238832,10.375,-106.625,93.875
59660261341,6.25,-105.312,84.5
59660282533,5.6875,-102.5,75.9375
59660298910,4.6875,-100.375,68.0625
59660321457,-1.4375,-98.9375,56.6875
59660342504,-8.5,-97.75,51.25
59660358874,-8.3125,-94.125,45.125
59660381403,-9.625,-88.0625,38
59660402462,-12.8125,-82.625,30.625
59660418857,-16.6875,-75.625,25.9375
59660441328,-17.8125,-67.5625,18.625
59660478764,-15.5625,-60.0625,11.8125
59660481116,-14.4375,-52.4375,6.8125
59660501286,-13,-45.8125,0.875
59660522470,-15.625,-41.0625,-3.625
59660538837,-13.3125,-36.9375,-2.875
59660561312,-9.9375,-15.0625,-4.375
59660582483,-13.3125,11.5,-1
59660598868,2.9375,23.125,0.625
59660621402,15.8125,15.5625,2.875
59660642362,2.625,-1,0.3125
59660658082,-3,-3.5625,-1.4375
59660681238,4.75,4.0625,-3.4375
59660705212,5.375,6.8125,-2.4375
59660718799,2,4.0625,-0.75
59660741235,0.125,1.75,0
59660762323,0.5,1.25,0.25
59660778847,1.75,2.875,0.875
59660801489,1.3125,3.8125,0.3125
59660822552,-0.125,3.375,-1.625
59660838855,-1.25,1.1875,0.5
59660861339,-0.5,1.0625,1.0625
59660883742,-1.3125,1.0625,0.625
59660898780,-0.8125,1,0.125
59660921409,-1.875,0.1875,0.5625
59660943738,-0.6875,0.5,2.375
59660958859,0.25,0.625,1.4375
59660981365,0.375,0.125,0.5625
59661003828,0.4375,-0.6875,0.4375
59661018827,0.125,-0.8125,0
59661041363,0.1875,-1.0625,0.1875
59661063747,0.4375,-0.75,0.8125
59661086436,1.125,0.125,0.3125
59661101327,1.4375,1.5625,-0.125
59661123742,1.3125,3.125,-0.1875
59661138173,0.8125,3.5625,-0.3125
59661161425,-0.8125,4.8125,-1.25
59661183836,-0.625,6.5,-2.5625
59661198125,-0.1875,8.8125,-4.5625
59661221398,0.5,11.9375,-6.375
59661243823,0.25,17.625,-9
59661264822,-0.0625,24.25,-10.5
59661288860,3.375,31.125,-13.4375
59661309784,3.5,38.375,-17.9375
59661325121,1.4375,46.5625,-23.625
59661341426,-0.25,56.1875,-31.1875
59661363814,0.625,66.3125,-39.1875
59661386394,2.625,77.3125,-45.75
59661401237,2,85.6875,-52
59661423931,0.25,92,-59.25
59661444987,-2.75,98,-67
59661461471,-7.375,104.75,-74.6875
59661491336,-3.1875,113.375,-80.4375
59661504895,0.25,118.375,-88.6875
59661521360,-2.6875,117.125,-94.5625
59661543809,-9.5625,115.75,-100.438
59661564851,-13.125,117.25,-105.062
59661587354,-12.5,120,-107.562
59661603826,-11.5625,122.625,-117.438
59661624837,-11.5625,122.438,-129.812
59661640626,-21,117.688,-134.688
59661663784,-28.8125,113.875,-134.062
59661684835,-26,115.188,-138.438
59661700572,-20.6875,117.312,-146.188
59661723839,-25.5625,113.25,-153.812
59661745072,-32.75,108.188,-159
59661767506,-31.8125,103.812,-164.062
59661783764,-35.75,100.938,-165.812
59661804804,-43.6875,96.375,-164.625
59661820615,-48,91.6875,-164.062
59661843818,-49.875,89.125,-166.5
59661866380,-51.5625,84.8125,-171.125
59661880689,-55.125,81,-172.25
59661903792,-49.5,79.3125,-172.438
59661926445,-39.6875,73.4375,-168.625
59661940607,-35.5625,66.3125,-161.5
59661963853,-30.75,60.25,-155
59661987778,-25.625,57.9375,-146.312
59662007387,-19.6875,57.1875,-139.125
59662023888,-17.3125,55,-132.812
59662046449,-20.9375,51.8125,-125.438
59662067640,-24.75,49.5,-116.812
59662083817,-23,46.6875,-106.812
59662106477,-21.75,41.875,-95.5625
59662135110,-26,34.875,-84.375
59662143824,-30.9375,27.6875,-72.125
59662166304,-33,20.125,-58.0625
59662187577,-31.8125,12.25,-45.625
59662211336,-25.8125,4.9375,-34.5625
59662226318,-16.8125,-1.5625,-25.1875
59662247428,-5.0625,-6,-17.9375
59662263892,1.9375,-9.5625,-11.1875
59662286295,4.125,-11.5625,-7.5
59662307351,3.4375,-12.4375,-4
59662323793,4.25,-13.3125,0
59662346389,1.6875,-14.4375,2.375
59662367583,3.375,-14.5,4.75
59662383819,6.75,-14,5.6875
59662413862,9.0625,-13,6.1875
59662427567,10.75,-10.5625,6.25
59662443875,14.1875,-3.0625,5.625
59662466353,10.1875,3.3125,3.5625
59662487337,-0.9375,4.375,1.6875
59662503828,-2,3.25,1.4375
59662526349,8.4375,1.625,3.6875
59662547347,21.0625,0.4375,5.625
59662570137,27.5625,-0.625,5.4375
